127.0.0.1 - - [12/Mar/2022:15:20:27 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Mar/2022:15:20:28 +0530] "GET /shopping_new/Main.html HTTP/1.1" 200 3715
0:0:0:0:0:0:0:1 - - [12/Mar/2022:15:20:28 +0530] "GET /shopping_new/img/mobile.png HTTP/1.1" 200 11398
0:0:0:0:0:0:0:1 - - [12/Mar/2022:15:20:29 +0530] "GET /shopping_new/img/logo.jpg HTTP/1.1" 200 22755
0:0:0:0:0:0:0:1 - - [12/Mar/2022:15:20:29 +0530] "GET /shopping_new/img/elec.png HTTP/1.1" 200 19068
0:0:0:0:0:0:0:1 - - [12/Mar/2022:15:20:29 +0530] "GET /shopping_new/img/ad1.webp HTTP/1.1" 200 75210
0:0:0:0:0:0:0:1 - - [12/Mar/2022:15:20:29 +0530] "GET /shopping_new/img/gor.png HTTP/1.1" 200 25354
0:0:0:0:0:0:0:1 - - [12/Mar/2022:15:20:29 +0530] "GET /shopping_new/img/fur.jpg HTTP/1.1" 200 11143
0:0:0:0:0:0:0:1 - - [12/Mar/2022:15:20:29 +0530] "GET /shopping_new/img/appliances.png HTTP/1.1" 200 23388
0:0:0:0:0:0:0:1 - - [12/Mar/2022:15:20:29 +0530] "GET /shopping_new/img/fashion.png HTTP/1.1" 200 24036
0:0:0:0:0:0:0:1 - - [12/Mar/2022:15:20:29 +0530] "GET /shopping_new/img/crocs.webp HTTP/1.1" 200 58528
0:0:0:0:0:0:0:1 - - [12/Mar/2022:15:20:29 +0530] "GET /shopping_new/img/5660740.jpg HTTP/1.1" 200 158760
0:0:0:0:0:0:0:1 - - [12/Mar/2022:15:20:29 +0530] "GET /shopping_new/img/puma.jpg HTTP/1.1" 200 50707
0:0:0:0:0:0:0:1 - - [12/Mar/2022:15:20:29 +0530] "GET /shopping_new/img/add2.webp HTTP/1.1" 200 92958
0:0:0:0:0:0:0:1 - - [12/Mar/2022:15:20:29 +0530] "GET /shopping_new/img/roadster.jpg HTTP/1.1" 200 53438
0:0:0:0:0:0:0:1 - - [12/Mar/2022:15:20:29 +0530] "GET /shopping_new/img/kalvin.webp HTTP/1.1" 200 17710
0:0:0:0:0:0:0:1 - - [12/Mar/2022:15:20:29 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Mar/2022:15:20:39 +0530] "GET /shopping_new/login.html HTTP/1.1" 200 1492
0:0:0:0:0:0:0:1 - - [12/Mar/2022:15:20:47 +0530] "POST /shopping_new/LoginServlet HTTP/1.1" 200 1533
0:0:0:0:0:0:0:1 - - [12/Mar/2022:15:21:43 +0530] "POST /shopping_new/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Mar/2022:15:21:43 +0530] "GET /Shopping_New/Mobile.html HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [12/Mar/2022:15:21:51 +0530] "GET /Shopping_New/Mobile.html HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [12/Mar/2022:15:21:53 +0530] "GET /Shopping_New/Mobile.html HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [12/Mar/2022:15:22:20 +0530] "GET /shopping_new/Mobile.html HTTP/1.1" 200 3913
0:0:0:0:0:0:0:1 - - [12/Mar/2022:15:22:20 +0530] "GET /shopping_new/img/mobile1.jpg HTTP/1.1" 200 159432
0:0:0:0:0:0:0:1 - - [12/Mar/2022:15:22:20 +0530] "GET /shopping_new/img/mobile2.jpg HTTP/1.1" 200 162651
0:0:0:0:0:0:0:1 - - [12/Mar/2022:15:22:20 +0530] "GET /shopping_new/img/mobile3.jpg HTTP/1.1" 200 159976
0:0:0:0:0:0:0:1 - - [12/Mar/2022:15:22:20 +0530] "GET /shopping_new/img/mobile4.jpg HTTP/1.1" 200 164587
0:0:0:0:0:0:0:1 - - [12/Mar/2022:15:22:20 +0530] "GET /shopping_new/img/mobile6.jpg HTTP/1.1" 200 160727
0:0:0:0:0:0:0:1 - - [12/Mar/2022:15:22:20 +0530] "GET /shopping_new/img/mobile5.jpg HTTP/1.1" 200 160266
0:0:0:0:0:0:0:1 - - [12/Mar/2022:15:22:25 +0530] "GET /Shopping_New/Mobile.html HTTP/1.1" 404 779
