127.0.0.1 - - [12/Jul/2022:10:20:05 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Jul/2022:10:20:09 +0530] "GET /shopping_new/HomePage.jsp HTTP/1.1" 200 3219
0:0:0:0:0:0:0:1 - - [12/Jul/2022:10:20:09 +0530] "GET /shopping_new/img/mobile.png HTTP/1.1" 200 11398
0:0:0:0:0:0:0:1 - - [12/Jul/2022:10:20:09 +0530] "GET /shopping_new/img/logo.jpg HTTP/1.1" 200 22755
0:0:0:0:0:0:0:1 - - [12/Jul/2022:10:20:09 +0530] "GET /shopping_new/img/elec.png HTTP/1.1" 200 19068
0:0:0:0:0:0:0:1 - - [12/Jul/2022:10:20:09 +0530] "GET /shopping_new/img/gor.png HTTP/1.1" 200 25354
0:0:0:0:0:0:0:1 - - [12/Jul/2022:10:20:09 +0530] "GET /shopping_new/img/fur.jpg HTTP/1.1" 200 11143
0:0:0:0:0:0:0:1 - - [12/Jul/2022:10:20:09 +0530] "GET /shopping_new/img/fashion.png HTTP/1.1" 200 24036
0:0:0:0:0:0:0:1 - - [12/Jul/2022:10:20:09 +0530] "GET /shopping_new/img/appliances.png HTTP/1.1" 200 23388
0:0:0:0:0:0:0:1 - - [12/Jul/2022:10:20:09 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Jul/2022:10:20:14 +0530] "GET /shopping_new/logout.html HTTP/1.1" 200 1073
0:0:0:0:0:0:0:1 - - [12/Jul/2022:10:20:15 +0530] "GET /shopping_new/Logout? HTTP/1.1" 200 1573
